input,target
generate apa: Dito membuang debu ke tempat sampah luar.,Apa yang Dito buang ke tempat sampah luar?
generate kemana: Dito membuang debu ke tempat sampah luar.,Ke mana Dito membuang debu?
generate siapa: Dito mengembalikan keranjang mainan ke sudut kamar.,Siapa yang mengembalikan keranjang mainan ke sudut kamar?
generate apa: Dito mengembalikan keranjang mainan ke sudut kamar.,Apa yang Dito kembalikan ke sudut kamar?
generate kemana: Dito mengembalikan keranjang mainan ke sudut kamar.,Ke mana Dito mengembalikan keranjang mainan?
generate siapa: Ibu masuk melihat kamar Dito.,Siapa yang masuk melihat kamar Dito?
generate siapa: Ibu masuk melihat kamar Dito.,Siapa yang Ibu masuk?
generate siapa: Ibu tersenyum melihat kamar yang bersih.,Siapa yang tersenyum melihat kamar yang bersih?
generate apa: Ibu tersenyum melihat kamar yang bersih.,Apa yang Ibu senyum?
generate siapa: Ibu memberi Dito hadiah permen cokelat.,Siapa yang memberi Dito hadiah permen cokelat?
generate siapa: Ibu memberi Dito hadiah permen cokelat.,Siapa yang Ibu beri?
generate siapa: Dito merasa senang kamarnya menjadi rapi.,Siapa yang merasa kamar nya senang?
generate apa: Dito merasa senang kamarnya menjadi rapi.,Apa yang Dito rasa senang?
generate siapa: Dito berjanji akan selalu merapikan mainan.,Siapa yang berjanji selalu?
generate siapa: Tika memiliki sebuah boneka beruang.,Siapa yang memiliki sebuah boneka beruang?
generate apa: Boneka beruang itu bernama Ciko.,Apa yang bernama Ciko?
generate siapa: Boneka beruang itu bernama Ciko.,Siapa yang Boneka beruang itu nama?
generate siapa: Ciko memiliki bulu berwarna cokelat muda.,Siapa yang memiliki bulu?
generate apa: Ciko memiliki bulu berwarna cokelat muda.,Apa yang Ciko miliki?
generate siapa: Tika memeluk Ciko saat tidur malam.,Siapa yang memeluk Ciko?
generate siapa: Tika memeluk Ciko saat tidur malam.,Siapa yang Tika peluk?
generate siapa: Siang ini Tika bermain dokter-dokteran.,Siapa yang bermain dokter-dokteran?
generate apa: Siang ini Tika bermain dokter-dokteran.,Apa yang Tika main?
generate siapa: Tika menjadikan Ciko sebagai pasien rumah sakit.,Siapa yang menjadikan Ciko sebagai pasien rumah sakit?
generate siapa: Tika menjadikan Ciko sebagai pasien rumah sakit.,Siapa yang Tika jadikan sebagai pasien rumah sakit?
generate siapa: Tika memakai jas dokter mainan putih.,Siapa yang memakai jas dokter mainan putih?
generate apa: Tika memakai jas dokter mainan putih.,Apa yang Tika pakai?
generate siapa: Tika membaringkan Ciko di atas tempat tidur.,Siapa yang membaringkan Ciko di atas tempat tidur?
generate siapa: Tika membaringkan Ciko di atas tempat tidur.,Siapa yang Tika baringkan di atas tempat tidur?
generate siapa: Tika mengambil stetoskop mainan dari plastik.,Siapa yang mengambil stetoskop mainan dari plastik?
generate apa: Tika mengambil stetoskop mainan dari plastik.,Apa yang Tika ambil dari plastik?
generate darimana: Tika mengambil stetoskop mainan dari plastik.,Dari mana Tika mengambil stetoskop mainan?
generate siapa: Tika memeriksa detak jantung boneka beruang.,Siapa yang memeriksa detak jantung boneka beruang?
generate apa: Tika memeriksa detak jantung boneka beruang.,Apa yang Tika periksa?
generate siapa: Tika menggelengkan kepala pura-pura cemas.,Siapa yang menggelengkan kepala pura-pura cemas?
generate apa: Tika menggelengkan kepala pura-pura cemas.,Apa yang Tika gelengkan?
generate siapa: Tika mengambil termometer mainan hijau.,Siapa yang mengambil termometer mainan hijau?
generate apa: Tika mengambil termometer mainan hijau.,Apa yang Tika ambil?
generate siapa: Tika memeriksa suhu tubuh Ciko.,Siapa yang memeriksa suhu tubuh Ciko?
generate siapa: Tika memeriksa suhu tubuh Ciko.,Siapa yang Tika periksa?
generate siapa: Tika mengambil botol obat sirup mainan.,Siapa yang mengambil botol obat sirup mainan?
generate apa: Tika mengambil botol obat sirup mainan.,Apa yang Tika ambil?
generate siapa: Tika menyuapkan obat menggunakan sendok plastik.,Siapa yang menyuapkan menggunakan sendok plastik?
generate siapa: Tika mengusap dahi Ciko dengan sayang.,Siapa yang mengusap dahi Ciko sayang?
generate siapa: Tika mengusap dahi Ciko dengan sayang.,Siapa yang Tika usap sayang?
generate siapa: Tika menyelimuti Ciko agar tetap hangat.,Siapa yang menyelimuti Ciko agar tetap hangat?
generate siapa: Tika menyelimuti Ciko agar tetap hangat.,Siapa yang Tika selimuti agar tetap hangat?
generate siapa: Tika meminta Ciko beristirahat tenang.,Siapa yang meminta beristirahat?
generate apa: Permainan dokter-dokteran selesai dengan menyenangkan.,Apa yang selesai menyenangkan dengan menyenangkan?
generate siapa: Tika mendudukkan Ciko di kursi rias.,Siapa yang mendudukkan Ciko di kursi rias?
generate siapa: Tika mendudukkan Ciko di kursi rias.,Siapa yang Tika dudukkan di kursi rias?
generate dimana: Tika mendudukkan Ciko di kursi rias.,Di mana Tika mendudukkan Ciko?
generate siapa: Tika menyisir bulu boneka beruang tersebut.,Siapa yang menyisir bulu boneka beruang tersebut?
generate siapa: Tika membawa Ciko ke ruang tamu.,Siapa yang membawa Ciko ke ruang tamu?
generate siapa: Tika membawa Ciko ke ruang tamu.,Siapa yang Tika bawa ke ruang tamu?
generate kemana: Tika membawa Ciko ke ruang tamu.,Ke mana Tika membawa Ciko?
generate siapa: Tika menonton televisi sambil memangku Ciko.,Siapa yang menonton memangku Ciko?
generate siapa: Tika menonton televisi sambil memangku Ciko.,Siapa yang Tika tonton?
generate siapa: Nenek membawakan sekeranjang buah apel.,Siapa yang membawakan sekeranjang buah apel?
generate apa: Nenek membawakan sekeranjang buah apel.,Apa yang Nenek bawakan?
generate siapa: Rini ingin membuat jus apel dingin.,Siapa yang ingin membuat jus apel dingin?
generate apa: Rini ingin membuat jus apel dingin.,Apa yang Rini buat?
generate siapa: Rini membawa tiga buah apel ke wastafel.,Siapa yang membawa tiga buah apel ke wastafel?
generate apa: Rini membawa tiga buah apel ke wastafel.,Apa yang Rini bawa ke wastafel?
generate kemana: Rini membawa tiga buah apel ke wastafel.,Ke mana Rini membawa tiga buah apel?
generate siapa: Rini mencuci buah apel di bawah air mengalir.,Siapa yang mencuci buah apel di bawah air mengalir?
generate apa: Rini mencuci buah apel di bawah air mengalir.,Apa yang Rini cuci di bawah air mengalir?
generate dimana: Rini mencuci buah apel di bawah air mengalir.,Di mana Rini mencuci buah apel?
generate siapa: Rini mengelap apel menggunakan kain bersih.,Siapa yang mengelap menggunakan kain bersih?
generate siapa: Rini mengambil pisau di laci dapur.,Siapa yang mengambil pisau di laci dapur?
generate apa: Rini mengambil pisau di laci dapur.,Apa yang Rini ambil di laci dapur?
generate dimana: Rini mengambil pisau di laci dapur.,Di mana Rini mengambil pisau?
generate siapa: Rini memotong apel menjadi dua bagian.,Siapa yang memotong menjadi dua bagian?
generate apa: Rini memotong apel menjadi dua bagian.,Apa yang Rini potongi?
generate siapa: Rini membuang biji apel ke tempat sampah.,Siapa yang membuang biji apel ke tempat sampah?
generate apa: Rini membuang biji apel ke tempat sampah.,Apa yang Rini buang ke tempat sampah?
generate kemana: Rini membuang biji apel ke tempat sampah.,Ke mana Rini membuang biji apel?
generate siapa: Rini memotong apel menjadi dadu kecil.,Siapa yang memotong menjadi dadu kecil?
generate apa: Rini memotong apel menjadi dadu kecil.,Apa yang Rini potongi?
generate siapa: Rini menyiapkan mesin blender di atas meja.,Siapa yang menyiapkan mesin blender di atas meja?
generate apa: Rini menyiapkan mesin blender di atas meja.,Apa yang Rini siapkan di atas meja?
generate dimana: Rini menyiapkan mesin blender di atas meja.,Di mana Rini menyiapkan mesin blender?
generate siapa: Rini memasukkan potongan apel ke dalam blender.,Siapa yang memasukkan potongan apel ke dalam blender?
generate apa: Rini memasukkan potongan apel ke dalam blender.,Apa yang Rini masukkan ke dalam blender?
generate kemana: Rini memasukkan potongan apel ke dalam blender.,Ke mana Rini memasukkan potongan apel?
generate siapa: Rini menambahkan dua sendok gula pasir.,Siapa yang menambahkan dua sendok gula pasir?
generate apa: Rini menambahkan dua sendok gula pasir.,Apa yang Rini tambahkan?
generate siapa: Rini menuangkan air putih matang setengah gelas.,Siapa yang menuangkan air putih matang setengah gelas?
generate siapa: Rini menambahkan es batu kotak.,Siapa yang menambahkan es batu kotak?
generate apa: Rini menambahkan es batu kotak.,Apa yang Rini tambahkan?
generate siapa: Rini menutup rapat bagian atas blender.,Siapa yang menutup rapat bagian blender?
generate apa: Rini menutup rapat bagian atas blender.,Apa yang Rini tutup?
generate siapa: Rini menekan tombol mesin blender dengan telunjuk.,Siapa yang menekan tombol mesin blender dengan telunjuk?
generate apa: Rini menekan tombol mesin blender dengan telunjuk.,Apa yang Rini tekan dengan telunjuk?
generate apa: Mesin blender berputar sangat kencang.,Apa yang berputar sangat kencang?
generate apa: Potongan apel hancur menjadi cairan kental.,Apa yang hancur menjadi cairan kental?
generate apa: Potongan apel hancur menjadi cairan kental.,Apa yang Potongan apel hancuri?
generate siapa: Rini mematikan mesin blender tersebut.,Siapa yang mematikan mesin blender tersebut?
generate apa: Rini mematikan mesin blender tersebut.,Apa yang Rini matikan?
generate siapa: Rini menyiapkan dua gelas kaca bening.,Siapa yang menyiapkan dua gelas kaca bening?
generate apa: Rini menyiapkan dua gelas kaca bening.,Apa yang Rini siapkan?
generate siapa: Rini menuangkan jus apel ke dalam gelas.,Siapa yang menuangkan jus apel ke dalam gelas?
generate apa: Rini menuangkan jus apel ke dalam gelas.,Apa yang Rini tuangkan ke dalam gelas?
generate kemana: Rini menuangkan jus apel ke dalam gelas.,Ke mana Rini menuangkan jus apel?
generate siapa: Rini menyajikan jus apel untuk ibu.,Siapa yang menyajikan jus apel untuk ibu?
generate apa: Rini menyajikan jus apel untuk ibu.,Apa yang Rini sajikan untuk ibu?
generate apa: Ibu meminum jus apel buatan Rini.,Apa yang meminum jus apel buatan Rini?
generate apa: Zaman dahulu gajah memiliki hidung sangat pendek.,Apa yang memiliki hidung pendek?
generate apa: Zaman dahulu gajah memiliki hidung sangat pendek.,Apa yang Zaman dahulu gajah miliki?
generate apa: Gajah muda berjalan di pinggir sungai jernih.,Apa yang berjalan di pinggir sungai jernih?
generate dimana: Gajah muda berjalan di pinggir sungai jernih.,Di mana Gajah muda berjalan ?
generate apa: Gajah muda menundukkan kepala ke permukaan air.,Apa yang menundukkan kepala ke permukaan air?
generate apa: Gajah muda menundukkan kepala ke permukaan air.,Apa yang Gajah muda tundukkan ke permukaan air?
generate kemana: Gajah muda menundukkan kepala ke permukaan air.,Ke mana Gajah muda menundukkan kepala?
generate apa: Tiba-tiba seekor buaya muncul dari dalam air.,Apa yang muncul Tiba-tiba dari dalam air?
generate darimana: Tiba-tiba seekor buaya muncul dari dalam air.,Dari mana seekor buaya muncul ?
generate apa: Buaya itu menggigit hidung gajah muda.,Apa yang menggigit hidung gajah muda?
generate apa: Buaya itu menggigit hidung gajah muda.,Apa yang Buaya itu gigit?
generate apa: Gajah muda merasa sangat terkejut.,Apa yang merasa terkejut?
generate apa: Gajah muda menarik tubuhnya ke arah belakang.,Apa yang menarik tubuh nya ke arah belakang?
generate apa: Gajah muda menarik tubuhnya ke arah belakang.,Apa yang Gajah muda menarik ke arah belakang?
generate kemana: Gajah muda menarik tubuhnya ke arah belakang.,Ke mana Gajah muda menarik tubuh nya?
generate siapa: Buaya menarik hidung gajah ke arah depan.,Siapa yang menarik hidung gajah ke arah depan?
generate apa: Buaya menarik hidung gajah ke arah depan.,Apa yang Buaya menarik ke arah depan?
generate kemana: Buaya menarik hidung gajah ke arah depan.,Ke mana Buaya menarik hidung gajah?
generate siapa: Mereka saling tarik menarik dengan sangat kuat.,Siapa yang tarik menarik saling?
generate apa: Hidung gajah muda menjadi semakin panjang melar.,Apa yang menjadi melar semakin panjang?
generate apa: Gajah muda mendorong buaya menggunakan kaki depan.,Apa yang Gajah muda dorongkan?
generate apa: Gajah muda lari menjauhi sungai mengerikan itu.,Apa yang lari menjauhi sungai itu?
generate apa: Gajah muda lari menjauhi sungai mengerikan itu.,Apa yang Gajah muda lari?
generate apa: Gajah muda melihat hidungnya di genangan air.,Apa yang melihat hidung nya di genangan air?
generate apa: Gajah muda melihat hidungnya di genangan air.,Apa yang Gajah muda lihat di genangan air?
generate dimana: Gajah muda melihat hidungnya di genangan air.,Di mana Gajah muda melihat hidung nya?
generate apa: Hidung itu berubah menjadi belalai yang panjang.,Apa yang berubah menjadi belalai yang panjang?
generate apa: Hidung itu berubah menjadi belalai yang panjang.,Apa yang Hidung itu rubahi?
generate apa: Gajah muda mencoba mengambil buah di pohon.,Apa yang mencoba mengambil buah di pohon?
generate apa: Gajah muda mencoba mengambil buah di pohon.,Apa yang Gajah muda coba di pohon?
generate dimana: Gajah muda mencoba mengambil buah di pohon.,Di mana Gajah muda mencoba mengambil buah?
generate apa: Belalai itu bisa memetik buah dengan mudah.,Apa yang bisa memetik buah dengan mudah?
generate apa: Gajah muda juga bisa menyedot air sungai.,Apa yang bisa menyedot air sungai juga?
generate apa: Gajah muda juga bisa menyedot air sungai.,Apa yang Gajah muda sedot juga?
generate siapa: Belalai menyemprotkan air ke punggung gajah sendiri.,Siapa yang menyemprotkan air ke punggung gajah sendiri?
generate apa: Belalai menyemprotkan air ke punggung gajah sendiri.,Apa yang Belalai semprotkan ke punggung gajah sendiri?
generate kemana: Belalai menyemprotkan air ke punggung gajah sendiri.,Ke mana Belalai menyemprotkan air?
generate apa: Gajah muda merasa sangat senang sekarang.,Apa yang merasa sangat senang sekarang?
generate apa: Belalai panjang sangat berguna bagi kelangsungan gajah.,Apa yang berguna sangat bagi kelangsungan gajah?
generate apa: Gajah muda menceritakan hal itu kepada teman-temannya.,Apa yang menceritakan hal itu kepada teman-teman?
generate apa: Gajah muda menceritakan hal itu kepada teman-temannya.,Apa yang Gajah muda ceritakan kepada teman-teman?
generate apa: Sejak saat itu semua gajah memiliki belalai.,Apa yang memiliki belalai sejak saat itu?
generate apa: Sejak saat itu semua gajah memiliki belalai.,Apa yang semua gajah miliki sejak saat itu?
generate kapan: Sejak saat itu semua gajah memiliki belalai.,Kapan semua gajah memiliki belalai?
generate apa: Dahulu kala jerapah bertubuh mirip seperti kuda.,Apa yang bertubuh mirip seperti kuda?
generate apa: Leher jerapah juga berukuran sangat pendek.,Apa yang berukuran juga sangat pendek?
generate siapa: Jerapah memakan rumput di tanah lapang luas.,Siapa yang memakan rumput di tanah lapang luas?
generate apa: Jerapah memakan rumput di tanah lapang luas.,Apa yang Jerapah makan di tanah lapang luas?
generate dimana: Jerapah memakan rumput di tanah lapang luas.,Di mana Jerapah memakan rumput?
generate apa: Musim kemarau panjang melanda hutan lebat itu.,Apa yang melanda hutan lebat itu?
generate apa: Musim kemarau panjang melanda hutan lebat itu.,Apa yang Musim kemarau panjang landa?
generate siapa: Rumput di tanah menjadi kering dan mati.,Siapa yang menjadi kering dan mati di tanah?
generate apa: Semua hewan kesulitan mencari rumput hijau segar.,Apa yang mencari rumput hijau segar?
generate apa: Semua hewan kesulitan mencari rumput hijau segar.,Apa yang Semua hewan kesulitan cari?
generate apa: Jerapah melihat daun hijau di atas pohon.,Apa yang melihat daun hijau di atas pohon?
generate apa: Jerapah melihat daun hijau di atas pohon.,Apa yang Jerapah lihat di atas pohon?
generate dimana: Jerapah melihat daun hijau di atas pohon.,Di mana Jerapah melihat daun hijau?
generate siapa: Jerapah berusaha menjulurkan lehernya ke arah atas.,Siapa yang berusaha menjulurkan leher nya ke arah atas?
generate apa: Jerapah berusaha menjulurkan lehernya ke arah atas.,Apa yang Jerapah usahakan ke arah atas?
generate kemana: Jerapah berusaha menjulurkan lehernya ke arah atas.,Ke mana Jerapah berusaha menjulurkan leher nya?
generate siapa: Jerapah berjinjit menggunakan kedua kaki depannya.,Siapa yang berjinjit menggunakan kedua kaki depan nya?
generate apa: Jerapah berjinjit menggunakan kedua kaki depannya.,Apa yang Jerapah jinjitkan?
generate siapa: Jerapah berhasil memakan daun paling bawah pohon.,Siapa yang berhasil memakan daun bawah pohon?
generate apa: Setiap hari jerapah melakukan rutinitas tersebut.,Apa yang melakukan rutinitas tersebut?
generate apa: Setiap hari jerapah melakukan rutinitas tersebut.,Apa yang Setiap hari jerapah lakukan?
generate siapa: Jerapah ingin memakan daun di dahan atas.,Siapa yang ingin memakan daun di dahan atas?
generate apa: Jerapah ingin memakan daun di dahan atas.,Apa yang Jerapah makan di dahan atas?
generate dimana: Jerapah ingin memakan daun di dahan atas.,Di mana Jerapah ingin memakan daun?
generate siapa: Jerapah meregangkan leher dengan sekuat tenaga besarnya.,Siapa yang meregangkan leher dengan sekuat tenaga besar nya?
generate apa: Jerapah meregangkan leher dengan sekuat tenaga besarnya.,Apa yang Jerapah regangkan dengan sekuat tenaga besar nya?
generate apa: Kaki depan jerapah juga ikut memanjang tinggi.,Apa yang ikut memanjang juga?
generate siapa: Jerapah bisa mencapai pucuk pohon paling tinggi.,Siapa yang bisa mencapai pucuk pohon paling tinggi paling?
generate apa: Daun di pucuk pohon terasa sangat segar.,Apa yang terasa sangat segar di pucuk pohon?
generate dimana: Daun di pucuk pohon terasa sangat segar.,Di mana di pucuk pohon terasa ?
generate apa: Jerapah makan dengan sangat kenyang setiap hari.,Apa yang makan dengan sangat kenyang setiap hari?
generate apa: Hewan lain melihat perubahan bentuk fisik jerapah.,Apa yang melihat perubahan bentuk fisik jerapah?
generate apa: Hewan lain melihat perubahan bentuk fisik jerapah.,Apa yang Hewan lain lihat?
generate siapa: Mereka merasa sangat takjub melihatnya.,Siapa yang merasa melihat nya?
generate apa: Mereka merasa sangat takjub melihatnya.,Apa yang Mereka rasa?
generate apa: Musim kemarau bukan menjadi masalah bagi jerapah.,Apa yang Musim kemarau jadi bukan?
generate apa: Leher panjang menjadi ciri khas hewan jerapah.,Apa yang menjadi ciri khas hewan jerapah?
generate apa: Leher panjang menjadi ciri khas hewan jerapah.,Apa yang Leher panjang jadi?
generate apa: Semua jerapah lahir dengan leher panjang sekarang.,Apa yang lahir dengan leher panjang sekarang?
generate apa: Beruang hitam berjalan menyusuri hutan pinus sepi.,Apa yang berjalan menyusuri hutan pinus sepi?
generate apa: Beruang hitam berjalan menyusuri hutan pinus sepi.,Apa yang Beruang hitam jalani?
generate apa: Beruang hitam merasa sangat lapar hari ini.,Apa yang merasa hari ini sangat lapar?
generate apa: Beruang hitam merasa sangat lapar hari ini.,Apa yang Beruang hitam rasa sangat lapar?
generate siapa: Beruang mencari buah beri di balik semak.,Siapa yang mencari buah di balik semak?
generate apa: Beruang mencari buah beri di balik semak.,Apa yang Beruang cari di balik semak?
generate dimana: Beruang mencari buah beri di balik semak.,Di mana Beruang mencari buah?
generate apa: Semak-semak itu tidak memiliki buah beri matang.,Apa yang memiliki buah tidak?
generate apa: Semak-semak itu tidak memiliki buah beri matang.,Apa yang Semak-semak itu miliki tidak?
generate apa: Beruang hitam mencium aroma manis yang kuat.,Apa yang mencium aroma manis yang kuat?
generate apa: Beruang hitam mencium aroma manis yang kuat.,Apa yang Beruang hitam cium?
generate siapa: Beruang mengikuti arah aroma sedap tersebut segera.,Siapa yang mengikuti arah aroma sedap tersebut segera?
generate apa: Beruang mengikuti arah aroma sedap tersebut segera.,Apa yang Beruang ikuti segera?
generate apa: Aroma itu berasal dari sebuah pohon besar.,Apa yang berasal dari sebuah pohon besar?
generate darimana: Aroma itu berasal dari sebuah pohon besar.,Dari mana Aroma itu berasal ?
generate dimana: Di dahan pohon terdapat sarang lebah madu.,Di mana  terdapat sarang lebah madu?
generate apa: Banyak lebah terbang menjaga sekitar sarang itu.,Apa yang terbang menjaga sekitar sarang itu?
generate apa: Beruang hitam memanjat batang pohon besar perlahan.,Apa yang memanjat batang pohon besar perlahan?
generate apa: Beruang hitam memanjat batang pohon besar perlahan.,Apa yang Beruang hitam panjat perlahan?
generate siapa: Beruang mendekati sarang lebah itu dengan hati-hati.,Siapa yang mendekati sarang lebah itu dengan hati-hati?
generate siapa: Beruang memasukkan cakar ke lubang dalam sarang.,Siapa yang memasukkan cakar ke lubang dalam sarang?
generate apa: Beruang memasukkan cakar ke lubang dalam sarang.,Apa yang Beruang masukkan ke lubang dalam sarang?
generate kemana: Beruang memasukkan cakar ke lubang dalam sarang.,Ke mana Beruang memasukkan cakar?
generate siapa: Beruang mengambil segenggam cairan lengket berwarna kuning.,Siapa yang mengambil segenggam cairan lengket?
generate apa: Cairan itu adalah madu lebah segar manis.,Apa yang madu?
generate siapa: Beruang memasukkan madu ke dalam mulut besarnya.,Siapa yang memasukkan madu ke dalam mulut besar nya?
generate apa: Beruang memasukkan madu ke dalam mulut besarnya.,Apa yang Beruang masukkan ke dalam mulut besar nya?
generate kemana: Beruang memasukkan madu ke dalam mulut besarnya.,Ke mana Beruang memasukkan madu?
generate siapa: Beruang memejamkan mata menikmati rasa madu itu.,Siapa yang memejamkan menikmati rasa madu itu?
generate apa: Lebah-lebah merasa marah kepada beruang hitam pencuri.,Apa yang merasa marah kepada beruang hitam pencuri?
generate siapa: Lebah menyengat ujung hidung beruang hitam bertubi-tubi.,Siapa yang menyengat ujung hidung beruang hitam bertubi-tubi?
generate apa: Lebah menyengat ujung hidung beruang hitam bertubi-tubi.,Apa yang Lebah sengat?
generate siapa: Beruang tidak peduli dengan rasa sengatan lebah.,Siapa yang peduli tidak dengan rasa sengatan lebah?
generate siapa: Beruang terus memakan madu dengan sangat lahap.,Siapa yang memakan madu terus dengan lahap sangat lahap?
generate apa: Beruang terus memakan madu dengan sangat lahap.,Apa yang Beruang makan terus dengan lahap sangat lahap?
generate apa: Bulu tebal beruang menahan sengatan lebah lainnya.,Apa yang menahan sengatan lebah lainnya?
generate apa: Bulu tebal beruang menahan sengatan lebah lainnya.,Apa yang Bulu tebal beruang tahan?
generate siapa: Beruang turun dari atas pohon beringin tua.,Siapa yang turun dari atas pohon beringin tua?
generate darimana: Beruang turun dari atas pohon beringin tua.,Dari mana Beruang turun ?
generate apa: Sejak hari itu beruang sangat menyukai madu.,Apa yang menyukai madu sejak hari itu sangat?
generate apa: Sejak hari itu beruang sangat menyukai madu.,Apa yang beruang sukai sejak hari itu sangat?
generate apa: Ribuan tahun lalu unta tidak memiliki punuk.,Apa yang memiliki punuk ribuan tahun lalu tidak?
generate apa: Ribuan tahun lalu unta tidak memiliki punuk.,Apa yang unta miliki ribuan tahun lalu tidak?
generate siapa: Unta hidup di gurun pasir yang panas.,Siapa yang hidup di gurun pasir yang panas?
generate apa: Hewan lain bekerja keras membangun tempat tinggal.,Apa yang bekerja membangun tempat tinggal keras?
generate apa: Hewan lain bekerja keras membangun tempat tinggal.,Apa yang Hewan lain bekerja keras?
generate siapa: Kuda mengangkut batu besar setiap siang hari.,Siapa yang mengangkut batu besar setiap siang hari?
generate apa: Kuda mengangkut batu besar setiap siang hari.,Apa yang Kuda angkut?
generate siapa: Keledai membawa tumpukan kayu bakar dari hutan.,Siapa yang membawa tumpukan kayu bakar dari hutan?
generate apa: Keledai membawa tumpukan kayu bakar dari hutan.,Apa yang Keledai bawa dari hutan?
generate darimana: Keledai membawa tumpukan kayu bakar dari hutan.,Dari mana Keledai membawa tumpukan kayu bakar?
generate siapa: Unta hanya duduk bermalas-malasan di atas pasir.,Siapa yang duduk bermalas-malasan hanya di atas pasir?
generate dimana: Unta hanya duduk bermalas-malasan di atas pasir.,Di mana Unta duduk bermalas-malasan ?
generate siapa: Unta menolak membantu pekerjaan berat hewan lain.,Siapa yang menolak membantu pekerjaan berat hewan lain?
generate siapa: Unta hanya memakan rumput gurun kering semalaman.,Siapa yang memakan rumput gurun kering semalaman hanya?
generate apa: Unta hanya memakan rumput gurun kering semalaman.,Apa yang Unta makan hanya?
generate apa: Seekor jin gurun melihat sifat kemalasan unta.,Apa yang melihat sifat kemalasan unta?
generate apa: Seekor jin gurun melihat sifat kemalasan unta.,Apa yang Seekor jin gurun lihat?
generate apa: Jin gurun menghampiri unta yang sedang berbaring.,Apa yang menghampiri unta yang sedang berbaring?
generate apa: Jin gurun menghampiri unta yang sedang berbaring.,Apa yang Jin gurun hampiri?
generate siapa: Jin meminta unta bekerja membantu kelompok kuda.,Siapa yang meminta bekerja unta?
generate apa: Jin meminta unta bekerja membantu kelompok kuda.,Apa yang Jin pinta?
generate siapa: Unta menolak permintaan jin gurun tersebut angkuh.,Siapa yang menolak permintaan jin gurun tersebut angkuh?
generate siapa: Unta beralasan dirinya sangat lelah dan mengantuk.,Siapa yang beralasan diri nya sangat lelah dan mengantuk?
generate apa: Unta beralasan dirinya sangat lelah dan mengantuk.,Apa yang Unta alasan sangat lelah dan mengantuk?
generate apa: Jin gurun merasa sangat marah kepada unta.,Apa yang merasa marah kepada unta?
generate siapa: Jin membaca sebuah mantra ajaib penunduk hewan.,Siapa yang membaca sebuah mantra ajaib penunduk hewan?
generate apa: Jin membaca sebuah mantra ajaib penunduk hewan.,Apa yang Jin baca?
generate apa: Asap tebal tiba-tiba menyelimuti tubuh unta itu.,Apa yang menyelimuti tubuh unta itu tiba-tiba?
generate apa: Asap tebal tiba-tiba menyelimuti tubuh unta itu.,Apa yang Asap tebal selimuti tiba-tiba?
generate apa: Punggung unta membengkak besar ke arah atas.,Apa yang membengkak besar ke arah atas?
generate kemana: Punggung unta membengkak besar ke arah atas.,Ke mana Punggung unta membengkak ?
generate apa: Sebuah benjolan besar muncul di punggung unta.,Apa yang muncul di punggung unta?
generate dimana: Sebuah benjolan besar muncul di punggung unta.,Di mana Sebuah benjolan besar muncul ?
generate apa: Jin berkata punuk itu menyimpan lemak cadangan.,Apa yang Jin kata?
generate siapa: Unta bisa bekerja berhari-hari tanpa makan minum.,Siapa yang bisa bekerja makan minum berhari-hari?
generate apa: Unta bisa bekerja berhari-hari tanpa makan minum.,Apa yang Unta bekerjakan berhari-hari?
generate siapa: Punuk memberi energi tambahan bagi unta pemalas.,Siapa yang memberi energi tambahan unta pemalas?
generate apa: Semua unta sekarang memiliki punuk di punggungnya.,Apa yang memiliki punuk sekarang di punggung nya?
generate apa: Semua unta sekarang memiliki punuk di punggungnya.,Apa yang Semua unta miliki sekarang di punggung nya?
generate dimana: Semua unta sekarang memiliki punuk di punggungnya.,Di mana Semua unta memiliki punuk?
generate apa: Bangau putih mencari ikan di genangan rawa.,Apa yang mencari ikan di genangan rawa?
generate apa: Bangau putih mencari ikan di genangan rawa.,Apa yang Bangau putih cari di genangan rawa?
generate dimana: Bangau putih mencari ikan di genangan rawa.,Di mana Bangau putih mencari ikan?
generate apa: Rawa itu memiliki air yang sangat dingin.,Apa yang memiliki air yang sangat dingin sangat?
generate siapa: Bangau berdiri menggunakan kedua kakinya di air.,Siapa yang berdiri menggunakan kedua kaki nya di air?
generate apa: Bangau berdiri menggunakan kedua kakinya di air.,Apa yang Bangau dirikan di air?
generate dimana: Bangau berdiri menggunakan kedua kakinya di air.,Di mana Bangau berdiri menggunakan kedua kaki nya?
generate apa: Ikan-ikan kecil berenang di sekitar kaki bangau.,Apa yang berenang di sekitar kaki bangau?
generate dimana: Ikan-ikan kecil berenang di sekitar kaki bangau.,Di mana Ikan-ikan kecil berenang ?
generate siapa: Bangau menunggu ikan dengan sangat sabar sekali.,Siapa yang menunggu ikan dengan sabar sangat sabar sekali?
generate apa: Bangau menunggu ikan dengan sangat sabar sekali.,Apa yang Bangau tunggu dengan sabar sangat sabar sekali?
generate apa: Angin kencang bertiup melintasi rawa pada sore.,Apa yang bertiup melintasi rawa pada sore?
generate apa: Angin kencang bertiup melintasi rawa pada sore.,Apa yang Angin kencang tiupi pada sore?
generate apa: Air dingin membuat kaki bangau membeku kaku.,Apa yang membuat kaki bangau?
generate apa: Air dingin membuat kaki bangau membeku kaku.,Apa yang Air dingin buat?
generate siapa: Bangau merasa sangat kedinginan di tengah rawa.,Siapa yang merasa sangat kedinginan di tengah rawa?
